time,Water_Level_LAT
UTC,metres
2023-03-12T19:05:00Z,3.178
2023-03-12T19:10:00Z,3.475
2023-03-12T19:15:00Z,3.315
2023-03-12T19:20:00Z,3.315
2023-03-12T19:25:00Z,3.304
2023-03-12T19:30:00Z,3.385
2023-03-12T19:35:00Z,3.384
2023-03-12T19:40:00Z,3.55
2023-03-12T19:45:00Z,3.543
2023-03-12T19:50:00Z,3.617
2023-03-12T19:55:00Z,3.589
2023-03-12T20:00:00Z,3.556
2023-03-12T20:05:00Z,3.745
2023-03-12T20:10:00Z,3.656
2023-03-12T20:15:00Z,3.585
2023-03-12T20:20:00Z,3.64
2023-03-12T20:25:00Z,3.684
2023-03-12T20:30:00Z,3.787
2023-03-12T20:35:00Z,3.786
2023-03-12T20:40:00Z,3.603
2023-03-12T20:45:00Z,3.784
2023-03-12T20:50:00Z,3.693
2023-03-12T20:55:00Z,3.627
2023-03-12T21:00:00Z,3.726
2023-03-12T21:05:00Z,3.663
2023-03-12T21:10:00Z,3.662
2023-03-12T21:15:00Z,3.676
2023-03-12T21:20:00Z,3.791
2023-03-12T21:25:00Z,3.685
2023-03-12T21:30:00Z,3.755
2023-03-12T21:35:00Z,3.597
2023-03-12T21:40:00Z,3.617
2023-03-12T21:45:00Z,3.631
2023-03-12T21:50:00Z,3.559
2023-03-12T21:55:00Z,3.559
2023-03-12T22:00:00Z,3.444
2023-03-12T22:05:00Z,3.517
2023-03-12T22:10:00Z,3.496
2023-03-12T22:15:00Z,3.355
2023-03-12T22:20:00Z,3.463
2023-03-12T22:25:00Z,3.418
2023-03-12T22:30:00Z,3.262
2023-03-12T22:35:00Z,3.259
2023-03-12T22:40:00Z,3.26
2023-03-12T22:45:00Z,3.194
2023-03-12T22:50:00Z,3.106
2023-03-12T22:55:00Z,3.105
2023-03-12T23:00:00Z,3.08
2023-03-12T23:05:00Z,2.991
2023-03-12T23:10:00Z,2.923
2023-03-12T23:15:00Z,2.855
2023-03-12T23:20:00Z,2.829
2023-03-12T23:25:00Z,2.8
2023-03-12T23:30:00Z,2.747
2023-03-12T23:35:00Z,2.722
2023-03-12T23:40:00Z,2.596
2023-03-12T23:45:00Z,2.579
2023-03-12T23:50:00Z,2.448
2023-03-12T23:55:00Z,2.467
2023-03-13T00:00:00Z,2.379
2023-03-13T00:05:00Z,2.379
2023-03-13T00:10:00Z,2.213
2023-03-13T00:15:00Z,2.221
2023-03-13T00:20:00Z,2.076
2023-03-13T00:25:00Z,2.142
2023-03-13T00:30:00Z,2.061
2023-03-13T00:35:00Z,1.939
2023-03-13T00:40:00Z,1.842
2023-03-13T00:45:00Z,1.84
2023-03-13T00:50:00Z,1.925
2023-03-13T00:55:00Z,1.856
2023-03-13T01:00:00Z,1.786
2023-03-13T01:05:00Z,1.785
2023-03-13T01:10:00Z,1.623
2023-03-13T01:15:00Z,1.606
2023-03-13T01:20:00Z,1.675
2023-03-13T01:25:00Z,1.508
2023-03-13T01:30:00Z,1.536
2023-03-13T01:35:00Z,1.538
